"Source:","/home/tania/Workspaces/Private/Langstone-Soundcard/Langstone-Soundcard.kicad_sch"
"Date:","Sa 27 Jan 2024 23:33:27 CET"
"Tool:","Eeschema 6.0.11+dfsg-1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value_with_fp.py"
"Component Count:","27"
"Ref","Qnty","Value","Cmp name","Footprint","Description","Vendor"
"C1, C2, C5, C6, C10, C11, ","6","10u","C_Polarized","Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A_Pad1.58x1.35mm_HandSolder","Polarized capacitor",""
"C3, C4, C7, C8, C9, ","5","1u","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor",""
"C12, C13, ","2","22p","C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","Unpolarized capacitor",""
"J1, ","1","NF_IN","Conn_01x03","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J2, ","1","USB","Conn_01x04","Connector_JST:JST_XH_B4B-XH-AM_1x04_P2.50mm_Vertical","Generic connector, single row, 01x04, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"J3, ","1","NF_OUT","Conn_01x03","Connector_JST:JST_XH_B3B-XH-A_1x03_P2.50mm_Vertical","Generic connector, single row, 01x03, script generated (kicad-library-utils/schlib/autogen/connector/)",""
"R1, R2, R3, R5, ","4","1k5","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R4, ","1","2.2","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R6, R7, ","2","22","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"R8, ","1","1M","R","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","Resistor",""
"SW1, ","1","HID","SW_DIP_x03","Button_Switch_THT:SW_DIP_SPSTx03_Slide_9.78x9.8mm_W7.62mm_P2.54mm","3x DIP Switch, Single Pole Single Throw (SPST) switch, small symbol",""
"U1, ","1","PCM2902","PCM2902","Package_SO:SSOP-28_5.3x10.2mm_P0.65mm","Stereo Audio Codec with USB interface, Analog Input/Output, and S/PDIF, SSOP-28",""
"Y1, ","1","12MHz","Crystal","Crystal:Crystal_SMD_HC49-SD_HandSoldering","Two pin crystal",""
